Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
,,Interviewer,,So you’ll cross the bridge when you get there.,So you’ll cross the bridge when you get there.,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,"Mm, okay. That’s interesting. Do you think because you talk about-to ladies on issues of relationships, does culture have anything to do with that so that with culture you only find that with the ladies you can only talk about relationships. You can’t talk about anything else. Maybe issues about-okay you can say politics maybe they don’t like but any other issues?","Mm, okay. That’s interesting. Do you think because you talk about-to ladies on issues of relationships, does culture have anything to do with that so that with culture you only find that with the ladies you can only talk about relationships. You can’t talk about anything else. Maybe issues about-okay you can say politics maybe they don’t like but any other issues?",,,,,,,,
,,Fred,,"You see first ladies <Swahili>mimi wasichana na kwambia ni watu nimekaa nao sana</Swahili>. So ladies when they’re there in fact [uncertain transcription] speaking-let’s say I’m all over-I'm in the midst of ladies and I am not speaking they are the ones that are talking mostly they never talk of anything constructive. <Swahili label='exemplification'>Hapa anakwambia “Charlie yangu hivi Charlie yanguhivi”</Swahili label='exemplification'> Like upset.  [uncertain transcription] <Swahili>nilikuwa</Swahili>-I was more to the ladies then the men in fact my roommate started complaining that <Swahili>sijui nimewekewa nini sijui nimeweka dawa nimewachukia</Swahili>. But you see when I was with those ladies I learned that there’s no time when two ladies are together that they propose <Swahili label='quotation'>“eti akija Keith tusome” hakuna! Nilikua naona tulikuja anakwambia “jana unajua tulikuwa tunafanya nini? Tulikuwa tunagombana na Charlie yangu’</Swahili label='quotation'> So <Swahili label='quotation'>anamwambia “wewe hukubalii hki, atakuona we ni</Swahili label='quotation'> cheap”. So (he laughs) there’s no single time <Swahili>mimi</Swahili> in my life that ladies I would see ladies talk about anything constructive. So they say if you cannot beat them you join them. Me as a pers-as a single persons I cannot tell them ""okay do change whatever you’re speaking let’s speak about this"".  Ahh if you find these people are speaking about-they’re talking about relationships like they always talk about their Charlies-their what. If you want to be their friends, speak whatever they like. Mmm.","You see first ladies <English>me, ladies I tell you, are people I have spend a lot of time with</English>. So ladies when they’re there in fact [uncertain transcription] speaking-let’s say I’m all over-I'm in the midst of ladies and I am not speaking they are the ones that are talking mostly they never talk of anything constructive. <English>Here she tells you ""My guy is this way, my guy is this way""</English> Like upset.  [uncertain transcription] <English>I was</English>-I was more to the ladies then the men in fact my roommate started complaining that <English>I don't know what has been put on me, I don't know medicine has been put on me that I hate them</English>. But you see when I was with those ladies I learned that there’s no time when two ladies are together that they propose <English>“Hey, when Keith comes let's study"", no there isn't! I used to see that when we comes she tells you ""yesterday do you know what we were doing? Me and my man were fighting""</English> So <English>she tells her ""you don't agree with this, he will see you as being</English> cheap”. So (he laughs) there’s no single time <English>I</English> in my life that ladies I would see ladies talk about anything constructive. So they say if you cannot beat them you join them. Me as a pers-as a single persons I cannot tell them ""okay do change whatever you’re speaking let’s speak about this"".  Ahh if you find these people are speaking about-they’re talking about relationships like they always talk about their Charlies-their what. If you want to be their friends, speak whatever they like. Mmm.",CS,SM: Exemplification.,,,,,,
,,Interviewer,,You fit there.,You fit there.,,,,,,,,
,,Fred,,"Yea, you just fit there because you cannot beat them so you simply join them. Eh, cuz me that’s our-what I’ve know for. <Swahili>Hutapata msichana anazungumza</Swahili> anything constructive In fact during those days we had we had assignments so <Swahili>nikiwaambia ati ona nyinyi mnaongeaongea hapa kwanzia wakati ule hata hakuna mmoja ame</Swahili>suggest <Swahili>tufanye ile kazi ya chamoroko. Hata hakuna mtu anasema tuseme nikawa nawaambia</Swahili> let us now do this. <Swahili>Sasa ukisema hivyo na this anasema ‘haki yako now umebonga’ ati</Swahili> this story <Swahili>tutaendeleza baadaye</Swahili> (he laughs). So mostly <Swahili>unaendapata</Swahili> you-for you to be friends with people, you do what appeals to them. And you see, that’s why the Kenyan poli-the Kenyan politicians, they are really misusing us. Cuz the Kenyans know that we like-we-they know what we like to hear. <Swahili label='quotation'>Mtu akishajua “huyu mtu huwa anapenda kusikia hili na hili na hili</Swahili label='quotation'>. ","Yea, you just fit there because you cannot beat them so you simply join them. Eh, cuz me that’s our-what I’ve know for. <English>You won't find a girl speaking about</English> anything constructive.  In fact during those days we had we had assignments so <English>if I tell them look you guys are here talking from that time not even one has</English> suggest[ed] <English>let's do some work of chamoroko. There isn't even a person to say let's say I was telling them</English> let us now do this. <English>Now if you say that and</English> this <English>she says ""it's your right now you have messed up"" that</English> this story <English>we we continue it later</English> (he laughs). So mostly <English>you go find that</English> you-for you to be friends with people, you do what appeals to them. And you see, that’s why the Kenyan poli-the Kenyan politicians, they are really misusing us. Cuz the Kenyans know that we like-we-they know what we like to hear. <English>Once a person knows ""this person usually likes to hear this and this and this</English>. ",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"Then it’s-then for me to be that person’s friend I have to pretend-to do whatever that person likes. The MPs knows that we don’t like the truth. So they will come with the lies, tell us, we accept, we vote for them.  Yea, but it’s the same same way even in high school you see I have-I had so many friends in high school. But in high school they were not so many of ladies but I know I had so many-I had men friends like I knew that when I had-when I’m with person ‘x’, this person ‘X’ loves football. Let me tell him something about football so as to maintain our friendship. <Swahili>Nilikuwa na</Swahili> person ‘Y’, this person ‘Y’ likes-likes-likes banana. He loves [uncertain transcription] So if I know that my friends likes that when I’m with him I just say that. Because I don’t want to terminate our friendship maybe there’s something I’m getting from the friendship there (he laughs). Yea.","Then it’s-then for me to be that person’s friend I have to pretend-to do whatever that person likes. The MPs knows that we don’t like the truth. So they will come with the lies, tell us, we accept, we vote for them.  Yea, but it’s the same same way even in high school you see I have-I had so many friends in high school. But in high school they were not so many of ladies but I know I had so many-I had men friends like I knew that when I had-when I’m with person ‘x’, this person ‘X’ loves football. Let me tell him something about football so as to maintain our friendship. <English>I was with</English> person ‘Y’, this person ‘Y’ likes-likes-likes banana. He loves [uncertain transcription] So if I know that my friends likes that when I’m with him I just say that. Because I don’t want to terminate our friendship maybe there’s something I’m getting from the friendship there (he laughs). Yea.",CS,Unmarked.,,,,,,
,,Interviewer,,"So generally from what we have talked about it then-eeh, seems language is very important.","So generally from what we have talked about it then-eeh, seems language is very important.",,,,,,,,
,,Fred,,Language is very important.,Language is very important.,,,,,,,,
,Can There Be Life Without Language,Interviewer,00:56:25mins,Do you think there can ever be life without language?,Do you think there can ever be life without language?,,,,,,,,
,,Fred,,"Mmm, life without language. So tricky.  (laughs). But uhhh, I think life can just be there. But now life will be there but <Swahili>haitakuwa</Swahili> that successful cuz <Swahili>sasa mtakuwa mnawasilianaje? Tuseme</Swahili> cuz it’s just like life is not complete in itself. <Swahili>Kuna vitu mtu wa- unaweza kuwa na hii na hii nyingine huna</Swahili>. So, it’s really tough life without language and that way-when you see when you are now studying, the-<Swahili>venye</Swahili> language <Swahili>ilikuja kuna nadharia tatu</Swahili>, I think they are three. I don't them [uncertain transcription] There’s one that says that language came from God. Mmm. That is according to the Is-the Muslims and the Christians they agree that language came from God. Even though that one it also has some shortcomings, that if language came from God why does the-those-the are people who does not believe in God you see and these people also talk. They have a language so therefore where did the language come from. ","Mmm, life without language. So tricky.  (laughs). But uhhh, I think life can just be there. But now life will be there but <English>it won't be</English> that successful cuz <English>now how will you be communicating? Let's say</English> cuz it’s just like life is not complete in itself. <English>There are things a person of-you can be you have this but this other thing you don't have</English>. So, it’s really tough life without language and that way-when you see when you are now studying, the-<English>the way</English> language <English>came there are three theories</English>, I think they are three. I don't them [uncertain transcription] There’s one that says that language came from God. Mmm. That is according to the Is-the Muslims and the Christians they agree that language came from God. Even though that one it also has some shortcomings, that if language came from God why does the-those-the are people who does not believe in God you see and these people also talk. They have a language so therefore where did the language come from. ",CS,Unmarked.,,,,,,
,,Fred (cont.),,"Yea, then another shortcoming of that-that say that language came from God is that there are these people that cannot talk the dumb people. If the language came from God then why didn’t God give them? So you see (laughs) the thing that states-states that where language came from <Swahili>ilikuwa insema eti</Swahili> language in the olden days human beings used to stay in the forest. So in those forests according to what the things that were surrounding them-they're birds-like you see the birds and the chicken they were staying with them so after a certain duration of time these people decided to leave and now go back to -<Swahili>wale wametoa waliaumua kutoka msituni warudi huko sasa mahali wanaishi. Kisha waliporudi wali</Swahili>took with them certain sounds like-for example they say that the word ‘cock’ whenever they heard that cock used to maybe to make those aah, ’kokoriokoo’ so cock. So they decided that his name now comes from there so (he laughs), so there are so many ways that they say that language came about. But I think language you-you-without life is quite difficult. Mmm, cuz language is very important in our day to day communications, <Swahili>lazima uongee</Swahili>.    ","Yea, then another shortcoming of that-that say that language came from God is that there are these people that cannot talk the dumb people. If the language came from God then why didn’t God give them? So you see (laughs) the thing that states-states that where language came from <English>it said that</English> language in the olden days human beings used to stay in the forest. So in those forests according to what the things that were surrounding them-they're birds-like you see the birds and the chicken they were staying with them so after a certain duration of time these people decided to leave and now go back to -<English>those who left decided to leave the forest and go back to where they were now living. Then when they returned they</English>took with them certain sounds like-for example they say that the word ‘cock’ whenever they heard that cock used to maybe to make those aah, ’kokoriokoo’ so cock. So they decided that his name now comes from there so (he laughs), so there are so many ways that they say that language came about. But I think language you-you-without life is quite difficult. Mmm, cuz language is very important in our day to day communications, <English>you have to talk</English>.    ",CS,Unmarked.,,,,,,
,,Interviewer,,You have to talk. ,You have to talk. ,,,,,,,,
,,Fred,,Eeh you have to talk with people. So without language <Swahili>kumbe inakuwa ngumu</Swahili>. You cannot say that without language there can’t be life cuz there are people uuuh-the-let’s say the birds. From the animals. See they have a different-they have a way in which they communicate. They also have their way-their own ways of communications even though they are not humanity <Swahili>bado maisha yanaendelea tu.</Swahili> ,Eeh you have to talk with people. So without language <English>it becomes very hard</English>. You cannot say that without language there can’t be life cuz there are people uuuh-the-let’s say the birds. From the animals. See they have a different-they have a way in which they communicate. They also have their way-their own ways of communications even though they are not humanity <English>life still goes on.</English> ,CS,Unmarked.,,,,,,
,,Interviewer,00:58:45mins,"Now that you have said those people who are Christians, and those who are Muslims where do you fall?","Now that you have said those people who are Christians, and those who are Muslims where do you fall?",,,,,,,,
,,Fred,,Mimi? ,Mimi? ,,,,,,,,
,,Interview,,Mmm.,Mmm.,,,,,,,,
,,Fred,,Eh mi as a person I’m a Christian. ,Eh mi as a person I’m a Christian. ,,,,,,,,
,,Interviewer,,Oh you’re a Christian.,Oh you’re a Christian.,,,,,,,,
,,Fred,,I’m a Christian.,I’m a Christian.,,,,,,,,
,,Interviewer,,"Okay. And eehh, generally what can you comment about language patterns?","Okay. And eehh, generally what can you comment about language patterns?",,,,,,,,
,,Fred,,Mmm,Mmm,,,,,,,,
,,Interviewer,,"By language patterns I mean how people use language generally on campus? Everywhere. Here, in stage, everywhere.","By language patterns I mean how people use language generally on campus? Everywhere. Here, in stage, everywhere.",,,,,,,,
,,Fred,,"Mmm, the language pattern it’s different. Again, different in [uncertain transcription] different types of people.  Like here <Swahili>tunapata tupo</Swahili> someone who cannot construct a complete sentence in Swahili [uncertain transcription] <Swahili>mnajua</Swahili>, the most the ironical part of it this person is taking a bachelors <Swahili>sijui</Swahili> of education in Swahili. So <Swahili>mtu anafanya Swahili na Historia na mtu hawezi akasema sentensi moja iliyo kamilifu na ile ambayo iko sahihi kimaana, kwa kiswahili. Si unajua anashindwa-yani ni mtu ile ya hatari ya Sheng. Ni Sheng imeingilia mtu hadi kwa damu. Kwa [uncertain transcription] mtu tu ni Sheng.</Swahili>","Mmm, the language pattern it’s different. Again, different in [uncertain transcription] different types of people.  Like here <English>we find we are</English> someone who cannot construct a complete sentence in Swahili [uncertain transcription] <English>you know</English>, the most the ironical part of it this person is taking a bachelors <English>I don't know</English> of education in Swahili. So <English>a person takes Swahili and History and the person can't say one complete sentence in Swahili which makes sense.You know s/he can't-that is that person is a [by product] of the hazards of  Sheng. It is Sheng that has entered even into a person's blood. To [uncertain transcription] a person it is</English>",CS,Unmarked.,,,,,,
,,Interviewer,,Okay so Sheng interferes and Sheng=,Okay so Sheng interferes and Sheng=,,,,,,,,
,,Fred,,"Sheng has really interfered a lot with the:-with the way people speak. That is Swahili. But again you see language now how people communicate again on campus. Now when you are talking on the-about these people that maybe the janitors.  You see I find a problem in those janitors, they don’t understand us. <Swahili label='elaboration'>Eeh, huwa hawatuelewi. Kama sisi huko. Kuna wakati nilikuta-kunasiku ile</Swahili label='elaboration'> time ya I was still here new here <Swahili>tunajua the jani</Swahili>-the-the cleaners they had come mopped <Swahili>wakaenda kisha mi sikuwa nime</Swahili>mop so <Swahili>mi nilikuwa na</Swahili> mop <Swahili>kisha nika</Swahili>-when mopping <Swahili>maji yalikuwa yame</Swahili> end up <Swahili>kwa</Swahili> pavement. <Swahili label='quotation'>Huyu unajua alikuja kwanza akaniambia “sasa unanidharau, ninininii. Unanidharau kwasababu wewe uko</Swahili label='quotation'>","Sheng has really interfered a lot with the:-with the way people speak. That is Swahili. But again you see language now how people communicate again on campus. Now when you are talking on the-about these people that maybe the janitors.  You see I find a problem in those janitors, they don’t understand us. <English>Eeh, they usually don't understand us. Like us there.  There was a time I found-there was a day that</English> time ya I was still here new here <English>we know the jani</English>-the-the cleaners they had come mopped <English>they left then me I hadn't</English>mop so <English>I was</English> mop[ping] <English>then I</English>-when mopping <English>the water was</English> end up <English>in the</English> pavement. <English>This guy you know he came and told me ""now you are disrespecting me"", and whatnot. ""You are disrespecting me because you are on</English>",CS,SM: Elaboration.,,,,,,
,,Fred (cont.),,campus <Swahili label='quotation'>hata kama sikukuja</Swahili label='quotation'> campus” <Swahili>Na unajua</Swahili> they just seemed they don’t understand so when <Swahili>nilipokuwa namwambia “mi sikua najua.” Anasema nyinyi watu wa</Swahili> campus <Swahili label='quotation'>huwa mnamadharau sana”</Swahili label='quotation'>. Yea you see which means me too I think the mm-whatever-what I think is just there is lack of communication. <Swahili>Mtu sasa</Swahili> to them <Swahili>inaweza ikawa masomo yake ni ya kiwango cha chini</Swahili> but you see they need also to understand. Eh someone should at least give you time to explain <Swahili>na kama wewe</Swahili> there’s a problem <Swahili>mtu  hataki hata umuelezee hataki hata kuelewa</Swahili>. In fact <Swahili>hataki kuijuwa</Swahili>. Eh ana-eeh-the olden views that <Swahili>alikuwa anayo ati watu wa</Swahili> campus <Swahili>wanamadharau ndio atakuwanayo</Swahili>. ,"campus <English>even if I didn't come on</English> campus” <English>And you know</English> they just seemed they don’t understand so when <English>when I was telling him ""I didn't know"". He said you people of</English> campus <English>you are usually very disrespectful”</English>. Yea you see which means me too I think the mm-whatever-what I think is just there is lack of communication. <English>A person now</English> to them <English>it may be his courses are of a lower grade</English> but you see they need also to understand. Eh someone should at least give you time to explain <English>and if you</English> there’s a problem <English>a person doesn't even want you to explain to them, he doesn't want to understand</English>. In fact <English>s/he doesn't want to know it</English>. Eh ana-eeh-the olden views that <English>he had that people of</English> campus <English>are disrespectful is what he will have</English>. ",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"Now <Swahili>unajua</Swahili> let’s say <Swahili>eti</Swahili> we are coming here again <Swahili>ukitoka wanakwambia “eeh, mtoto wangu chunga</Swahili> campus.” <Swahili>Hapo</Swahili> campus <Swahili>kuna ukimwi</Swahili>.  So you see (he laughs) so I just used to wonder but my parents used to tell me campus there’s <Swahili label='quotation'>“ati hawa wasichana watakupewa ukimwi” Sasa nikawa najiuliza “kwani</Swahili label='quotation'> girls do they manufacture AIDS?” cuz they say <Swahili label='quotation'>“hawa wasichana watakupewa ukimwi wasichana watakupewa Ukimwi”</Swahili label='quotation'> so you see when we were coming here people view us as people who are-<Swahili>watu</Swahili> we are people who are wayward. And so that <Swahili>ukienda huko hurudi ukaenyumbani. Unapata hao-tuseme hata</Swahili> your older friends <Swahili label='quotation'>wale marafiki uliokuwa nao zamani.","Now <English>you know</English> let’s say <English>that</English> we are coming here again <English>when you leave they tell you ""eeh, my child mind the</English> campus.” <English>There on</English> campus <English>there is AIDS</English>.  So you see (he laughs) so I just used to wonder but my parents used to tell me campus there’s <English>“these girls will give you AIDS"". Now I asked myself ""is it</English> girls do they manufacture AIDS?” cuz they say <English>“these girls will give you AIDS, girls will give you AIDS""</English> so you see when we were coming here people view us as people who are-<English>people</English> we are people who are wayward. And so that <English>if you go out there you will not return and stay home.  You find them-let's say even</English> your older friends <English>those friends you've had from long ago.",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"Ukaambiwa ""huyu mtoto wa nanii unajua ameenda</Swahili label='quotation'> campus. <Swahili>Na</Swahili> campus <Swahili>watu wameharibika. Atakuingiza kwa bangi</Swahili>. And so <Swahili>chunga na ukiwa na yeye chunga sana</Swahili>. Eh so, people view us as different using now language. Cuz again, you will find <Swahili>kuna wengine pia hawajui kuwaongelesha wengine</Swahili>. There’s that etiquette, that is needed. That is the register [uncertain transcription] because you know that when you are here you should speak to people this way when you are here you should speak to people this way. Yea, cuz <Swahili>unaona, ingawa inafundishwa huko</Swahili>, mmm in high school but when you come here you’ll see it’s really evident many people-some of us who want to talk to them <Swahili>ambao unapata</Swahili> some people are rude. So they are-they are using that language maybe there to demean, to show that they have-<Swahili label='elaboration'>yani wako juu kushinda wale wengine</Swahili label='elaboration'>.","You are told ""this child of so and so you know s/he went to</English> campus. <English>And</English> campus <English>people are ruined. S/he will get you into marijuana</English>. And so <English>be mindful and when you are with him/her be very mindful</English>. Eh so, people view us as different using now language. Cuz again, you will find <English>there are others also who don't know how to talk to people</English>. There’s that etiquette, that is needed. That is the register [uncertain transcription] because you know that when you are here you should speak to people this way when you are here you should speak to people this way. Yea, cuz <English>you see, even though it is taught there</English>, mmm in high school but when you come here you’ll see it’s really evident many people-some of us who want to talk to them <English>that you find</English> some people are rude. So they are-they are using that language maybe there to demean, to show that they have-<English>that is they are higher then those others</English>.",CS,SM: Quotation SM: Elaboration.,,,,,,
,,Interviewer,01:02:15mins,Mm. Okay. And generally what can you say about the change of meanings of words. So that nowadays we-we-it’s like we are manufacturing new meanings. ,Mm. Okay. And generally what can you say about the change of meanings of words. So that nowadays we-we-it’s like we are manufacturing new meanings. ,,,,,,,,
,,Fred,,Mmm.,Mmm.,,,,,,,,
,,Interviewer,,So that when I tell you “ass”,So that when I tell you “ass”,,,,,,,,
,,Fred,,Yea it means uuh (he laughs),Yea it means uuh (he laughs),,,,,,,,
,,Interviewer,,What’s-when I tell you about [uncertain transcription],What’s-when I tell you about [uncertain transcription],,,,,,,,
,,Fred,,"Mm hmm, yea it means there are people=","Mm hmm, yea it means there are people=",,,,,,,,
,,Interviewer,,Why do you think we are coining new meanings? Or we are coming up with new meanings of words? It is that we feel the language is not adequate or we are just rebellious we want to speak the way we want and we want to come up with our own language because I think with time if we continue like that don’t you thnk we’ll come up with a new language? ,Why do you think we are coining new meanings? Or we are coming up with new meanings of words? It is that we feel the language is not adequate or we are just rebellious we want to speak the way we want and we want to come up with our own language because I think with time if we continue like that don’t you thnk we’ll come up with a new language? ,,,,,,,,
,,Fred,,"Yea, new language is in the making.  There's one that is about to come. But you see, all this <Swahili>inatokana na-na inachipuka. Hao mwanzo wake ni Sheng</Swahili>. Cuz you see Sheng there are people tha-<Swahili>yani</Swahili> if you look if you want to study this Sheng and now look words into which people come up with.  <Swahili>Yani</Swahili> words za Sheng you see some, they just form the opposite of the word. Mm. Kama let's say-eeh-they say uh, they form them using the opposite of-let's say if a word is there <Swahili>nikienda mbele sasa</Swahili> now <Swahili>wataanza kui-kuisema ikirudi nyuma sasa</Swahili>. So you see, people-people are just making [uncertain transcription] and I think that they call themselves being digital. <Swahili>Sasa huko ni huko kwa hatari sasa</Swahili>.","Yea, new language is in the making.  There's one that is about to come. But you see, all this <English>it comes from and-and it is springing up. Those their beginnings are Sheng</English>. Cuz you see Sheng there are people tha-<English>that is</English> if you look if you want to study this Sheng and now look words into which people come up with.  <English>That is</English> words za Sheng you see some, they just form the opposite of the word. Mm. Kama let's say-eeh-they say uh, they form them using the opposite of-let's say if a word is there <English>if I go forward now</English> now <English>they will start to-to say that it is going backwards now</English>. So you see, people-people are just making [uncertain transcription] and I think that they call themselves being digital. <English>Now that is the place of danger now</English>.",CS,Unmarked.,,,,,,
,,Interviewer,,(laughs) You can say that is the creative nature of language.,(laughs) You can say that is the creative nature of language.,,,,,,,,
,,Fred,,"Yea, that's now the creative nature such that-like <Swahili>hata sisi tulipokuwa huko nyumbani nakua <Swahili>then</Swahili> mnazungumza kwahiyo mnajua</Swahili> you don't have the-the words then <Swahili>mnajua</Swahili> people just say <Swahili label='quotation'>""sisi tutakuwa tukizungumza aah kinyumenyume""</Swahili label='quotation'> like for example <Swahili>tuseme=</Swahili>","Yea, that's now the creative nature such that-like <English>even we when we were back at home then we were</English> then <English>you speak so you know</English> you don't have the-the words then <English>you know</English> people just say <English>""we will be speaking aah secretly""</English> like for example <English>let's say=</English>",CS,SM: Quotation.,,,,,,
,,Interviewer,,Jaku.,Jaku.,,,,,,,,
,,Fred,,Eh jaku.,Eh jaku.,,,,,,,,
,,Interviewer,,<Swahili>Kuja</Swahili>.,<English>Come</English>.,,,,,,,,
,,Fred,,"<Swahili>Tuseme</Swahili> like for example there's one in Swahili <Swahili>ati</Swahili> there's a big story <Swahili>kuna</Swahili> -eh-in Swahili I think it's from Form One. <Swahili>Unajua hiyo</Swahili> story <Swahili>ilipendaga sana. [uncertain transcription] inaitwa ""Elewa Lugha Yako""</Swahili>. It's a story Kiswahili. [uncertain transcription] there's a story in [uncertain transcription] ""ChemiChemi ya Kiswahili"", there's a story in tha book, <Swahili label='high solidarity'>mama amesema elewa lugha yako yani mtu anafaa kuelewa lugha yake vizuri</Swahili label='high solidarity'>. So that you see there's a man in that story  that <Swahili>alikuwa amekwenda ku</Swahili>-forest. So then there's a stut-there's some students who are sent to collect some maybe-somethings from the forest. <Swahili>Tuseme kama uko</Swahili> primary <Swahili>mlikuwa mnaambiwa ""kesho kuje na viboko"". Unajua unabeba kiboko ambacho kitakuchapa</Swahili>, so <Swahili>unaenda unatafuta ule mti wa mpera. Ambao uko</Swahili> straight <Swahili>unaleta saa hawa wanafunzi walikuwa wametumwa huko msituni</Swahili>. ","<English>Let's say</English> like for example there's one in Swahili <English>that</English> there's a big story <English>there's</English> -eh-in Swahili I think it's from Form One. <English>You know that</English> story <English>it was very liked. [uncertain transcription] it is called ""Understand Your Language""</English>. It's a story in Kiswahili. [uncertain transcription] there's a story in [uncertain transcription] ""ChemiChemi ya Kiswahili"", there's a story in that book, <English>mother said understand your language that is a person needs to know his/her language well</English>. So that you see there's a man in that story that <English>he had gone to the</English>-forest. So then there's a stut-there's some students who are sent to collect some maybe-somethings from the forest. <English>Let's say if you are in</English> primary <English>you were told ""tomorrow come with sticks"". You know you carry the stick that will be used to beat you</English>, so <English>you go find that guava tree. That is</English> straight <English>you bring it. Now these students were sent on an errand out there to the forest.</English>. ",CS,SM: High solidarity.,,,,,,
,,Fred (cont.),,"So <Swahili>kufika wakakutana na</Swahili> a man, that man was really running, <Swahili>anakimbia yani</Swahili> as if something is chasing in him. So when he met those people <Swahili>akawaambia [uncertain transcription, sounds like a potentially made up language] so you see these people <Swahili>wakaanza kujianagalia ""huyu man amesema nini?""</Swahili> they are ""what is this man saying?"" So <Swahili>wakasema</Swahili> ""ah! To hell with him <Swahili>wacha tuendelee na safari yetu. Wacha atatu</Swahili>stress <Swahili>bure</Swahili>."" So <Swahili>unajua [uncertain transcription] wanaenda wanaenda</Swahili> [uncertain transcription] so <Swahili>wakakutana na simba. Na</Swahili> that <Swahili>simba</Swahili> now started chasing them so all of them had to climb on top of the tree. ","So <English>when they arrived they met with</English> a man, that man was really running, <English>he was running that is</English> as if something is chasing in him. So when he met those people <English>he told them [uncertain transcription, sounds like a potentially made up language] so you see these people <English>they started looking at each other ""what is this man saying?""</English> they are ""what is this man saying?"" So <English>they said</English> ""ah! To hell with him <English>let's continue with our journey. Leave him he will</English>stress [us] <English>for nothing</English>."" So <English>you know [uncertain transcription] they go they go</English> [uncertain transcription] so <English>they met up with a lion.  And</English> that <English>lion</English> now started chasing them so all of them had to climb on top of the tree. ",CS,,,,,,,
,,Fred (cont.),,"Then now they decided to remember this man had told them [uncertain transcription]. So you see <Swahili>wanajiuliza</Swahili> what does this thing mean so they decided to write them down now when they were back at school they-<Swahili>yani</Swahili> they made [uncertain transcription]. When they write it they decided now to read it <Swahili label='quotation'>ilikuja huku huyu mtu alikuwa anawaambia ""rudini nyuma kuna simba  huko mbele""</Swahililabel='quotation'>. So (laughs). [repeats the words he was saying before] So <Swahili>unaona</Swahili> these people they never understood this man <Swahili>na huyu man angetumia</Swahili> their lay language such that they can understand at least <Swahili>ile maafa ama mauti ambayo karibu ilikuwa inawakomba inge-wangeponyoka</Swahili>. So this language <Swahili>unapata</Swahili> people just choose them <Swahili>kuna wengine-kuna watu wengine tu hawajali</Swahili>. ","Then now they decided to remember this man had told them [uncertain transcription]. So you see <English>they asked themselves</English> what does this thing mean so they decided to write them down now when they were back at school they-<English>that is</English> they made [uncertain transcription]. When they write it they decided now to read it <English>it turns out this person was telling them "" go back there is a lion ahead""</English>. So (laughs). [repeats the words he was saying before] So <English>you see</English> these people they never understood this man <English>and this man if he had used</English> their lay language such that they can understand at least <English>that deat or corpses that almost befell them would have-they would have avoided it</English>. So this language <English>you find</English> people just choose them <English>there are others-there are other people who just don't care</English>. ",CS,SM: Quotation.,,,,,,
,,Interviewer,01:06:02mins,Okay. So that when you use language in a specific way you tend to form a grouping.,Okay. So that when you use language in a specific way you tend to form a grouping.,,,,,,,,
,,Fred,,Yea. You tend to=,Yea. You tend to=,,,,,,,,
,,Interviewer,,Because now the way that man was speaking there is a group that speaks like that so just like they-{they are one},Because now the way that man was speaking there is a group that speaks like that so just like they-{they are one},,,,,,,,
,,Fred,,"{Yea he thinks that they} know that. Yea, like let's say <Swahili>hata sisi</Swahili> in high school. But now it's them when disc was that common-<Swahili>unajua</Swahili> you don’t have [uncertain transcription] but <Swahili>sasa</Swahili> at least you know the language, you know <Swahili>Kiswahili na we pia hukipendi Kiswahili</Swahili> cuz not so many people love Kiswahili.  So you are speaking your language just the same same language but now you are: saying those words <Swahili>kinyumenyume</Swahili> so that <Swahili>mtu akikuambia</Swahili> you have spoken mother tongue he'll ask you ati let's say <Swahili label='exemplification'>tuseme mm ""kukuja"" mnasema ""bi"", b-i,</Swahili label='exemplification'> so <Swahili label='exemplification'>mtu ata-anakuambia ""ib"", eeh ""ib"". Ib ika. Yani bika eh. Sasa atakuwa ana</Swahili label='exemplification'>change 'ibeka"" such that when <Swahili label='exemplification'>mtu anakwambia ""onyango, ib eka"" so huyu mtu hata haelewi. Hajui nini inafanyika</Swahili label='exemplification'> even though you are-they are not speaking Kiswahili or English. ","{Yea he thinks that they} know that. Yea, like let's say <English>even us</English> in high school. But now it's them when disc was that common-<English>you know</English> you don’t have [uncertain transcription] but <English>now</English> at least you know the language, you know <English>Swahili and you too you don't like Swahili</English> cuz not so many people love Kiswahili.  So you are speaking your language just the same same language but now you are: saying those words <English>secretly</English> so that <English>if a person tells you</English> you have spoken mother tongue he'll ask you ati let's say <English>let's say mm ""to come"" you say ""bi"", b-i,</English> so <English>a person will-will tell you ""ib"", eeh ""ib"". Ib ika. That is ""bika"" eh. Now s/he will</English>change 'ibeka"" such that when <English>a person tells you ""Onyango, ib eka"" so <English>this person won't even understand. S/he doesn't know what is going on</English> even though you are-they are not speaking Kiswahili or English. ",CS,SM: Exemplification.,,,,,,
